"","990
057","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
058","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
060","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","14","3.702","92.9",".",".",".","7.1","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"OBS&GYN
436","Dept. Total","127","3.637","49.6","40.9","6.3","0.8","0.8","",".","",".","",".","",".",".","",".","",".","0.8",".",".","0.8"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","7","3.947","85.7","14.3",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","2","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","19","3.741","94.7",".",".",".","5.3","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","2","3.750","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","68","3.561","23.5","64.7","8.8","1.5",".","",".","",".","",".","",".",".","",".","",".",".",".",".","1.5"
"Prof Yr 4","","29","3.783","69.0","20.7","6.9",".",".","",".","",".","",".","",".",".","",".","",".","3.4",".",".","."
"Professionals","","99","3.612","37.4","51.5","8.1","1.0",".","",".","",".","",".","",".",".","",".","",".","1.0",".",".","1.0"
"","Dept. Total","127","3.637","49.6","40.9","6.3","0.8","0.8","",".","",".","",".","",".",".","",".","",".","0.8",".",".","0.8"
