"","LANG & CULTURES OF ASIA - LA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","",""
"First Semester Filipino","305","001","","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"First Semester Hmong","307","001","","19","3.861","78.9","10.5",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","309","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","309","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Indonesian","","Course Total","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Thai","317","001","","13","3.458","38.5","15.4","30.8","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"First Semester Vietnamese","319","001","","9","3.667","88.9",".",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","321","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","321","008","","7","3.611","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","321","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","","22","3.359","36.4","22.7","13.6","4.5","13.6",".",".","9.1",".",".",".",".",".",".",".","."
"","323","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","323","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","323","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Arabic","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"First Semester Turkish","339","001","","13","3.708","46.2","38.5","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","353","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","353","002","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","","Course Total","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Persian","363","001","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","369","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Urdu","371","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Sanskrit","375","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Filipino","405","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hmong","407","001","","23","3.568","47.8","26.1","13.0","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Third Semester Indonesian","409","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Thai","417","001","","9","3.250","11.1","33.3","33.3","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"Third Semester Vietnamese","419","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Turkish","439","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Uzbek","443","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hindi","453","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Persian","463","001","","8","3.500","25.0","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Modern Tibetan","469","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Urdu","471","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Sanskrit","475","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Hmong","507","001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Indonesian","509","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fifth Semester Thai","517","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 244 of 407",""
