"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"915","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","35","3.857","77.1","17.1","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"916
Diseas&Injry Epidem-DivHlth","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","",".",".",".",".",".",".",".","92.6",".",".",".","3.7","3.7",".",".","."
