"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"","362","005","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","","Course Total","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363","001","","18","3.673","44.4","38.9","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","366","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366","002","","8","3.942","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","","Course Total","","18","3.975","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368","001","","22","3.750","77.3","9.1",".",".",".",".","4.5","9.1",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370","001","","9","2.839",".","33.3","33.3","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Sound for Theatre","371","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372","001","","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre and Society","420","001","","19","3.737","73.7","5.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424","001","","14","3.500","71.4",".","21.4",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Acting Styles","450","001","","15","3.567","46.7","33.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting Design II","466","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Brit Drama, 1914 to Present","538","001","","14","3.538","42.9","21.4","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","34","3.942","88.2","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directing Lab","568","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study-Theatre Dsgn&Tech","670","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","28","3.913","89.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Intro Rsch-Theatre","700","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Theatre Hist-500bc-1700","731","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","740","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Stage Movement","742","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 312 of 407",""
