"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"990","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","111","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","75","",".",".",".",".",".",".",".","90.7",".",".",".","9.3",".",".",".","."
"993
Seminar in Genetics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"GENETICS
412","Dept. Total","","731","3.267","48.7","7.3","14.5","6.8","8.2","2.3","1.2","9.8",".",".",".","1.0",".",".",".","0.1"
