"Rsch in Physical Activity","991
001","3","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
010","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
015","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"KINES
742","Dept. Total","694","3.638","54.2","23.8","12.1","3.2","2.0","0.3","",".","1.9","",".","1.7","",".","0.3","",".","0.1","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","31","3.208","29.0","16.1","29.0","16.1","6.5",".","",".",".","",".",".","",".",".","",".",".",".","3.2"
"Sophomore","","87","3.547","42.5","33.3","20.7","2.3","1.1",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","138","3.540","50.7","26.8","13.0","3.6","4.3","1.4","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","392","3.703","63.0","22.7","9.7","2.6","1.3",".","",".","0.3","",".",".","",".",".","",".","0.3","0.3","."
"Undergraduates","","648","3.633","56.0","24.7","12.8","3.4","2.2","0.3","",".","0.2","",".",".","",".",".","",".","0.2","0.2","0.2"
"Special","","8","3.783","62.5","25.0","12.5",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","38","3.833","21.1","7.9",".",".",".",".","",".","31.6","",".","31.6","",".","5.3","",".",".","2.6","."
"","Dept. Total","694","3.638","54.2","23.8","12.1","3.2","2.0","0.3","",".","1.9","",".","1.7","",".","0.3","",".","0.1","0.3","0.1"
