"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"818
Archive Accessioning&Appraisal","001","","12","3.636","33.3","50.0","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"826
Fld Project-Lib&Info Literacy","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"847","001","","6","3.417","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"847","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"847","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in User Services","Course Total","","11","3.364","63.6","9.1",".","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"879","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"879","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Libraries","Course Total","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Smr-Info Organization & Access","001","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","17","3.986","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
