"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","266","2.544","12.4","12.4","16.5","11.7","34.2","7.5","2.6","1.9",".",".",".",".",".",".","0.4","0.4"
"Beginning Swimming","102
001","17","3.967","82.4","5.9",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","125
001","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"","125
002","31","",".",".",".",".",".",".",".","77.4",".",".",".",".",".",".","22.6","."
"","125
003","18","",".",".",".",".",".",".",".","94.4",".",".",".",".",".",".","5.6","."
"","125
004","16","4.000","12.5",".",".",".",".",".",".","68.8",".",".",".",".",".",".","18.8","."
"Adapted Fitness&Pers Traing","Course Total","71","4.000","2.8",".",".",".",".",".",".","80.3",".",".",".",".",".",".","16.9","."
"","127
001","18","3.818","44.4","11.1","5.6",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","127
002","20","3.471","30.0","25.0","25.0","5.0",".",".",".","15.0",".",".",".",".",".",".",".","."
"","127
003","16","3.444","25.0","25.0",".",".",".","6.3",".","43.8",".",".",".",".",".",".",".","."
"","127
004","15","3.667","20.0","13.3","6.7",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"Bowling I","Course Total","69","3.581","30.4","18.8","10.1","1.4",".","1.4",".","37.7",".",".",".",".",".",".",".","."
"","129
001","22","3.227","13.6","36.4","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","129
002","22","3.316","18.2","31.8","27.3","4.5","4.5",".",".","13.6",".",".",".",".",".",".",".","."
"","129
003","20","3.895","75.0","20.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","64","3.467","34.4","29.7","20.3","7.8","1.6",".",".","6.3",".",".",".",".",".",".",".","."
"","130
001","20","3.526","45.0","30.0","5.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","002
130","23","3.804","78.3","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","43","3.679","62.8","20.9","4.7","4.7","4.7",".",".","2.3",".",".",".",".",".",".",".","."
"","131
001","15","3.571","46.7","20.0","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","131
002","18","3.150","11.1","27.8","5.6",".","5.6","5.6",".","44.4",".",".",".",".",".",".",".","."
"","131
003","16","3.500","18.8","25.0","18.8",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","49","3.426","24.5","24.5","14.3","2.0","2.0","2.0",".","30.6",".",".",".",".",".",".",".","."
"","132
001","16","3.500","56.3","6.3","12.5",".",".",".","6.3","18.8",".",".",".",".",".",".",".","."
"","132
002","17","3.731","52.9","5.9","17.6",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"","132
003","22","3.881","77.3","13.6","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","132
004","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
005","17","3.607","29.4","41.2","11.8",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","132
006","23","3.393","8.7","30.4","21.7",".",".",".",".","39.1",".",".",".",".",".",".",".","."
"","132
007","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
008","21","3.861","66.7","14.3","4.8",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Weight Training","Course Total","156","3.737","55.1","19.2","10.3",".",".",".","0.6","14.7",".",".",".",".",".",".",".","."
"","133
001","21","3.925","85.7","4.8","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","133
002","19","3.941","78.9","10.5",".",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"","133
003","27","3.646","29.6","55.6","3.7",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","67","3.820","61.2","26.9","3.0",".",".",".",".","9.0",".",".",".",".",".",".",".","."
"","134
001","23","3.652","73.9","17.4",".",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","134
002","19","3.206","15.8","15.8","47.4","10.5",".",".",".","10.5",".",".",".",".",".",".",".","."
"","134
003","21","4.000","76.2",".",".",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","63","3.616","57.1","11.1","14.3","3.2","1.6",".","1.6","11.1",".",".",".",".",".",".",".","."
"","138
001","13","3.125","30.8","7.7","23.1","15.4","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"","138
002","17","3.429","11.8","11.8","17.6",".",".",".",".","58.8",".",".",".",".",".",".",".","."
"","003
138","12","3.667","33.3","33.3","8.3",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","138
004","15","3.615","33.3","40.0","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
