"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","89","3.449","56.2","12.4","15.7","3.4","9.0","3.4",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","27","3.519","55.6","18.5","14.8","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","20","3.150","30.0","20.0","15.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","14","3.107","28.6","14.3","21.4","21.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","20","3.150","30.0","20.0","15.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","78","2.974","21.8","19.2","23.1","11.5","21.8","1.3","1.3",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","42","3.214","28.6","21.4","33.3","7.1","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","48","3.448","27.1","45.8","18.8","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","","21","3.825","76.2","4.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"Facilities Planning","510","001","","23","3.543","43.5","34.8","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","42","3.857","81.0","11.9","4.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","53","3.340","39.6","24.5","11.3","17.0","5.7","1.9",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","17","3.094","17.6","29.4","23.5","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9"
"Human Perform&Accidnt Cause","555","001","","39","3.846","74.4","20.5","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","35","3.771","71.4","17.1","8.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","23","3.543","43.5","34.8","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Program Evaluation Sys","610","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"Intro-Stochastic Processes","632","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","29","3.672","44.8","44.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","31","3.855","74.2","22.6","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","51","4.000","92.2",".",".",".",".",".",".","5.9",".",".",".",".","2.0",".",".","."
"Grad Cooperative Educ Program","702","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonsmooth Optimization","727","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
