"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"The Teaching of Language Arts","Course Total","","45","3.933","91.1","4.4","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Teaching Mathematics","Course Total","","61","3.975","95.1","1.6","1.6",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"","371
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Social Studies","Course Total","","48","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","23","3.804","78.3","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","Course Total","","48","3.854","81.3","12.5","4.2",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","373
001","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum III","Course Total","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gen Ed Pract-Diverse Learners","374
001","","13","3.960","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","Course Total","","36","3.900","80.6","16.7","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Physical Educ","378
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technol-Secondary Schl Math","395
001","","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","095
399","","23","3.873","91.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","26","3.887","92.3",".","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","422
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Children's Lit","Course Total","","45","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum IV","Course Total","","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching World Lang(6-12)","443
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","","52","3.971","96.2","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","466
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","467
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 81 of 407"
