"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"","412","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","","Course Total","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","422","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","422","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","","Course Total","","9","3.950","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"Computer Imaging Techniques","428","001","","13","3.633","69.2","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429","001","","14","3.549","42.9","35.7","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","24","3.935","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concept&Methodol of Figuration","452","001","","9","3.765","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","458","001","","11","3.227","27.3","9.1","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","458","002","","8","3.250","25.0","12.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Communication Design","","Course Total","","19","3.237","26.3","10.5","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","","77","3.693","68.8","10.4","10.4","5.2","1.3","1.3",".",".",".",".",".",".",".",".","1.3","1.3"
"","512","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","512","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Advanced Sculpture I","514","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","518","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","518","002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artist's Video","","Course Total","","14","3.962","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","","10","3.789","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Mediated Art","528","001","","6","3.417","50.0",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Life Drawing I","532","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546","001","","8","3.188","12.5","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","","6","3.261","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Photography","576","001","","6","3.739","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","612","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","","Page 69 of 407"
