"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"300
001","21","3.763","52.4","33.3","4.8",".",".",".",".","9.5",".","",".",".","",".","",".",".",".","."
"Section Total","31","3.815","58.1","25.8","3.2",".",".",".",".","12.9","",".",".","",".","",".",".",".",".","."
"Course Total
Workshop-Physical Activity","31","3.815","58.1","25.8","3.2",".",".",".",".","12.9","",".",".","",".","",".",".",".",".","."
"310
001
Water Safety Instructor","14","4.000","92.9",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","7.1"
"362
001
Tennis III","18","3.583","33.3","11.1","22.2",".",".",".",".","33.3",".","",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1556","3.313","41.1","19.9","10.6","3.3","6.6","1.4","0.6","15.2","",".",".","",".","",".","0.1","0.1","1.0","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","200","2.918","34.0","17.0","17.5","2.5","22.5","3.0","0.5","2.5","",".",".","",".","",".","0.5",".",".","."
"Sophomore","302","3.258","43.4","23.2","11.3","4.6","7.0","2.0","1.3","6.3","",".",".","",".","",".",".",".","0.7","0.3"
"Junior","298","3.345","48.0","19.8","10.4","5.0","5.4","1.7","1.0","8.4","",".",".","",".","",".",".",".",".","0.3"
"Senior","615","3.553","45.0","22.0","9.1","2.4","2.6","0.7","0.2","17.9","",".",".","",".","",".",".",".","0.2","."
"Undergraduates","1415","3.317","43.7","21.1","11.0","3.5","6.9","1.5","0.6","11.2","",".",".","",".","",".","0.1",".","0.2","0.1"
"Special","98","2.857","7.1","6.1","7.1",".","3.1","1.0","1.0","60.2","",".",".","",".","",".",".","2.0","12.2","."
"Graduate","36","3.500","25.0","16.7","5.6","5.6","2.8",".",".","44.4","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","4","4.000","25.0",".",".",".",".",".",".","75.0","",".",".","",".","",".",".",".",".","."
"Professionals","7","4.000","57.1",".",".",".",".",".",".","42.9","",".",".","",".","",".",".",".",".","."
"Dept. Total","1556","3.313","41.1","19.9","10.6","3.3","6.6","1.4","0.6","15.2","",".",".","",".","",".","0.1","0.1","1.0","0.1"
