"HEBREW (HEBREW AND SEMITI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","21","3.643","52.4","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101","002","","26","3.654","69.2","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","101","003","","25","3.760","68.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101","004","","20","3.825","75.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hebrew","","Course Total","","92","3.717","66.3","17.4","9.8","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","103","001","","10","3.333","30.0","30.0","10.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","201","001","","16","3.767","62.5","18.8","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","201","002","","16","3.733","62.5","12.5","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Third Semester Hebrew","","Course Total","","32","3.750","62.5","15.6","15.6",".",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"Introduction to Judaism","211","001","","31","3.350","35.5","25.8","22.6","9.7",".",".","3.2","3.2",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","217","001","","18","3.528","44.4","27.8","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241","001","","14","3.214","21.4","21.4","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301","001","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","323","001","","7","3.214","28.6","28.6",".","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Israeli Fiction-Translation","343","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Jewish Civilization","371","001","","10","3.333","20.0","40.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0","."
"Survey of Modern Hebrew Lit","401","001","","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Texts","448","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Archaeology","451","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533","001","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aramaic I","601","001","","12","3.500","50.0","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"The Book of Ezekiel","641","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"The Dead Sea Scrolls","954","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","8","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
