"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","386","2.870","15.8","17.6","25.4","17.6","19.2","2.8","1.3","0.3",".",".",".",".",".",".",".","."
"","002
101","391","2.835","17.1","16.9","21.5","19.2","18.9","4.9","1.3",".",".",".",".",".",".",".",".","0.3"
"","101
003","400","2.861","15.8","20.5","25.8","13.8","15.0","8.3","0.5","0.3","0.3",".",".",".",".",".",".","."
"","101
004","389","2.853","15.7","20.1","25.2","14.4","15.4","8.5","0.3","0.5",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1566","2.854","16.1","18.8","24.5","16.2","17.1","6.1","0.8","0.3","0.1",".",".",".",".",".",".","0.1"
"","102
001","253","2.822","9.1","20.9","26.9","23.3","14.6","4.3","0.8",".",".",".",".",".",".",".",".","."
"","102
002","259","2.990","21.6","21.2","21.6","17.0","12.4","6.2",".",".",".",".",".",".",".",".",".","."
"","102
003","252","3.022","24.6","19.8","20.2","16.3","13.1","5.6",".",".",".",".",".",".",".",".",".","0.4"
"Principles-Macroeconomics","Course Total","764","2.945","18.5","20.7","22.9","18.8","13.4","5.4","0.3",".",".",".",".",".",".",".",".","0.1"
"Prin/Econ-Accelratd Treatmt","111
001","33","3.318","21.2","39.4","27.3","6.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"","300
001","17","2.500",".","17.6","5.9","35.3","41.2",".",".",".",".",".",".",".",".",".",".","."
"","300
002","27","2.731","14.8","7.4","33.3","14.8","18.5","3.7","3.7","3.7",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","44","2.640","9.1","11.4","22.7","22.7","27.3","2.3","2.3","2.3",".",".",".",".",".",".",".","."
"","301
001","114","3.036","14.9","32.5","17.5","18.4","10.5","2.6","0.9","0.9","0.9",".",".",".",".",".",".","0.9"
"","301
002","115","2.996","26.1","21.7","20.0","13.9","7.8","8.7","1.7",".",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","229","3.015","20.5","27.1","18.8","16.2","9.2","5.7","1.3","0.4","0.4",".",".",".",".",".",".","0.4"
"","302
001","193","2.894","20.7","9.8","30.1","15.5","19.7","3.6","0.5",".",".",".",".",".",".",".",".","."
"","302
002","90","2.911","16.7","23.3","24.4","14.4","15.6","2.2","3.3",".",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","283","2.899","19.4","14.1","28.3","15.2","18.4","3.2","1.4",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","57","2.955","17.5","10.5","28.1","26.3","14.0",".",".","1.8",".",".",".",".",".",".","1.8","."
"Stats:Measrmnt in Economics","310
001","79","3.063","15.2","25.3","30.4","22.8","3.8","1.3","1.3",".",".",".",".",".",".",".",".","."
"Intmed Microecon-Adv Treatment","311
001","32","3.517","37.5","31.3","15.6","9.4",".",".",".","3.1",".",".",".",".",".","3.1",".","."
"","320
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","6","2.750",".","16.7","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Public Utilities","325
001","17","3.467","29.4","23.5","35.3",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Money and Banking","330
001","187","2.805","10.2","21.9","19.8","27.8","13.9","6.4",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","69","2.762","20.3","7.2","34.8","7.2","18.8","7.2","2.9","1.4",".",".",".",".",".",".",".","."
"Survey-Internatl Economics","364
001","36","3.125","27.8","19.4","33.3","5.6","8.3","2.8","2.8",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","390
014","28","3.018","17.9","25.0","21.4","14.3","21.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","54","2.991","22.2","22.2","18.5","20.4","9.3","1.9","3.7","1.9",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","8","2.938",".","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","426
001","6","3.000",".","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".","16.7",".","."
"Wages and the Labor Market","450
001","30","3.000","13.3","23.3","33.3","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Economic Approach-Human Behav","451
001","30","3.150","20.0","26.7","30.0","10.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","124","3.028","19.4","9.7","42.7","18.5","7.3","2.4",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473
001","17","3.206","29.4","29.4","5.9","23.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474
001","42","2.774","26.2","4.8","31.0","11.9","11.9","9.5","4.8",".",".",".",".",".",".",".",".","."
"Economics of Transportation","502
001","33","3.061","21.2","30.3","27.3","6.1","6.1","6.1","3.0",".",".",".",".",".",".",".",".","."
"Game Theory & Economic Anal","521
001","39","2.949","25.6","17.9","23.1","7.7","15.4","10.3",".",".",".",".",".",".",".",".",".","."
"Law and Economics","522
001","116","3.000","19.8","13.8","31.9","22.4","9.5","1.7","0.9",".",".",".",".",".",".",".",".","."
