"","CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Construction Systems","290","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","56","2.571","5.4","8.9","21.4","30.4","30.4","3.6",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","51","2.700","11.8","19.6","25.5","11.8","13.7","15.7",".","2.0",".",".",".",".",".",".",".","."
"Hydrology","315","001","","12","3.000","16.7","33.3","16.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","97","2.912","21.6","5.2","45.4","4.1","18.6","3.1","2.1",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","48","2.990","14.6","18.8","33.3","20.8","10.4","2.1",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","77","3.227","27.3","15.6","41.6","6.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","89","3.045","12.4","15.7","52.8","9.0","9.0","1.1",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","9","2.778","22.2","11.1","33.3","11.1",".","22.2",".",".",".",".",".",".",".",".",".","."
"Environmentl Engineerng Lab","424","001","","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Wastewtr Treatmnt Plnt","426","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid&Hazardous Wastes Engr","427","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","22","3.045","13.6","27.3","22.7","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Wood Structures I","442","001","","23","2.891","8.7","13.0","47.8","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","31","3.032","16.1","25.8","29.0","6.5","22.6",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","38","3.671","57.9","34.2","5.3",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","31","3.516","12.9","80.6","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","498","001","","40","3.800","72.5","25.0",".",".",".","2.5",".",".",".",".",".",".",".",".",".","."
"","498","002","","70","3.529","51.4","25.7","11.4","5.7","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","110","3.627","59.1","25.5","7.3","3.6","2.7","0.9","0.9",".",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","27","3.778","63.0","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Anal Intermediate Lab","503","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coastal Engineering","514","001","","15","3.317","33.3","13.3","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Foundations","532","001","","8","3.563","50.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Precast Concrete","543","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","24","3.729","58.3","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","14","3.423","35.7","7.1","50.0",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Advanced Pavement Design","576","001","","12","3.636","41.7","33.3","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","44","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","37","3.959","91.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","596","002","","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","596","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructability Analysis","","Course Total","","21","3.548","52.4","33.3","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","609","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","Page 109 of 407",""
