"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","228
001","14","3.622","64.3","7.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","18","3.383","16.7","55.6","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","17","3.382","35.3","17.6","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","228
005","22","3.413","18.2","50.0","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","228
007","20","3.570","35.0","40.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
008","16","3.530","25.0","50.0","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","107","3.480","30.8","38.3","23.4","5.6","0.9",".",".","0.9",".",".",".",".",".",".",".","."
"","271
001","15","3.931","80.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","271
002","11","3.613","63.6","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","271
003","13","3.598","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","11","3.650","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","19","3.700","68.4","5.3","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","271
006","21","3.479","23.8","47.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","90","3.655","51.1","28.9","16.7","1.1",".","1.1",".",".",".",".",".",".",".",".",".","1.1"
"Practical French Converstn","301
001","36","3.943","86.1","11.1",".",".",".",".",".",".","2.8",".",".",".",".",".",".","."
"","311
001","22","3.704","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","18","3.117","22.2","27.8","22.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","Course Total","40","3.435","40.0","27.5","20.0","5.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","20","3.597","40.0","30.0","25.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","321
001","26","3.718","65.4","15.4","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
002","23","3.664","39.1","52.2","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","21","3.652","61.9","14.3","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","Course Total","70","3.681","55.7","27.1","15.7",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","322
001","19","3.785","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","15","3.509","60.0","13.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","322
003","22","3.792","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","Course Total","56","3.711","62.5","25.0","10.7",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"","347
001","23","3.743","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
002","15","3.410","33.3","26.7","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","Course Total","38","3.607","50.0","26.3","21.1",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348
001","16","3.385","56.3","25.0","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Medieval & Renais Lit","430
001","12","3.473","25.0","41.7","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"French/Francophone Lit Studies","461
001","13","3.805","69.2","15.4",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"French/Francophone Lit & Women","472
001","22","3.836","68.2","22.7","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Phonetics","590
001","23","3.652","56.5","17.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grammaire avancee","615
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","639
001","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Lit Francaise-XVIe Siecle","646
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
