"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","60","3.375","33.3","26.7","26.7","8.3","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002","79","2.942","20.3","15.2","24.1","21.5","11.4","3.8","1.3",".",".",".",".",".",".","2.5",".","."
"","101
004","71","3.155","23.9","26.8","22.5","12.7","12.7","1.4",".",".",".",".",".",".",".",".",".","."
"","101
005","71","3.190","23.9","28.2","31.0","9.9","1.4","4.2","1.4",".",".",".",".",".",".",".",".","."
"","101
006","68","3.074","13.2","26.5","30.9","23.5","4.4","1.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","349","3.137","22.6","24.4","26.9","15.5","7.2","2.3","0.6",".",".",".",".",".",".","0.6",".","."
"Spec Topics:Philos-Freshmen","104
001","17","3.438","41.2","35.3","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9"
"","210
001","82","3.098","31.7","8.5","36.6","8.5","9.8","2.4","2.4",".",".",".",".",".",".",".",".","."
"","210
003","74","3.115","32.4","20.3","20.3","10.8","8.1","6.8","1.4",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","156","3.106","32.1","14.1","28.8","9.6","9.0","4.5","1.9",".",".",".",".",".",".",".",".","."
"","211
001","68","3.537","64.7","11.8","7.4","4.4","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"","211
002","56","3.343","26.8","46.4","10.7","5.4","1.8","3.6","1.8","3.6",".",".",".",".",".",".",".","."
"","211
003","72","3.285","44.4","25.0","9.7","9.7","4.2","1.4","5.6",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","196","3.389","46.4","26.5","9.2","6.6","5.1","2.6","2.6","1.0",".",".",".",".",".",".",".","."
"","241
001","69","3.094","24.6","20.3","21.7","21.7","10.1",".","1.4",".",".",".",".",".",".",".",".","."
"","241
002","77","3.331","22.1","37.7","29.9","5.2","5.2",".",".",".",".",".",".",".",".",".",".","."
"","241
003","73","3.870","80.8","12.3","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","219","3.436","42.5","23.7","19.6","8.7","5.0",".","0.5",".",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","70","3.384","47.1","17.1","18.6","7.1","4.3","2.9","1.4","1.4",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261
001","63","3.508","39.7","34.9","15.9","3.2","1.6",".","1.6","3.2",".",".",".",".",".",".",".","."
"","341
001","66","3.674","62.1","21.2","12.1","1.5","1.5","1.5",".",".",".",".",".",".",".",".",".","."
"","341
002","62","3.444","35.5","38.7","9.7","11.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","341
003","64","3.070","9.4","26.6","35.9","25.0","3.1",".",".",".",".",".",".",".",".",".",".","."
"","341
091","14","3.464","35.7","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","20","3.625","45.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","21","3.476","19.0","66.7","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","21","3.476","28.6","42.9","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","268","3.431","34.7","34.0","17.5","11.2","2.2","0.4",".",".",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430
001","58","3.457","27.6","44.8","20.7","5.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","66","2.808","33.3","15.2","7.6","19.7","3.0","12.1","7.6",".",".",".",".",".",".","1.5",".","."
"French Philos-Existentialsm","440
001","53","3.330","24.5","32.1","32.1","7.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","454
001","17","3.656","47.1","29.4","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","454
002","23","3.214","26.1","21.7","26.1","8.7","4.3","4.3",".","4.3","4.3",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","40","3.405","35.0","25.0","22.5","5.0","2.5","2.5",".","5.0","2.5",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","37","3.236","37.8","13.5","24.3","10.8","5.4","5.4",".","2.7",".",".",".",".",".",".",".","."
"Spec Tops-Theory of Knowldg","504
001","18","3.250","44.4","5.6","33.3","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topic","522
001","17","3.938","82.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523
001","18","3.472","22.2","50.0","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","17","3.559","52.9","29.4",".","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Philos Concepts-Tch&Learng","545
001","14","3.500","57.1","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","Page 273 of 407",""
