"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","33","3.697","57.6","24.2","18.2",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Indians of North America","314
001","157","2.688","12.7","15.3","17.2","12.7","36.9","1.9","1.3","1.9",".","",".",".","",".","",".","",".",".","."
"Survey-N Amer Indian Languages","371
001","6","3.900","66.7","16.7",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","16.7"
"","450
006","20","3.575","60.0","5.0","30.0",".","5.0",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
026","16","3.656","75.0","18.8",".",".",".",".","6.3",".",".","",".",".","",".","",".","",".",".","."
"","450
027","20","3.225","35.0","25.0","30.0",".",".","5.0","5.0",".",".","",".",".","",".","",".","",".",".","."
"Issues in Amer Ind Studies","Course Total","56","3.473","55.4","16.1","21.4",".","1.8","1.8","3.6",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","699
021","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"AMER IND
140","Dept. Total","253","3.028","29.6","16.6","17.8","7.9","23.3","1.6","1.6","1.2","",".",".","",".","",".","",".",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","3.630","59.3","14.8","22.2",".","3.7",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","40","3.038","35.0","15.0","15.0","7.5","22.5","2.5","2.5",".","",".",".","",".","",".","",".",".",".","."
"Junior","","91","2.883","18.7","17.6","18.7","12.1","30.8","1.1",".","1.1","",".",".","",".","",".","",".",".",".","."
"Senior","","92","2.967","28.3","17.4","17.4","6.5","22.8","2.2","3.3","1.1","",".",".","",".","",".","",".",".",".","1.1"
"Undergraduates","","250","3.020","29.2","16.8","18.0","8.0","23.6","1.6","1.6","0.8","",".",".","",".","",".","",".",".",".","0.4"
"Special","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","253","3.028","29.6","16.6","17.8","7.9","23.3","1.6","1.6","1.2","",".",".","",".","",".","",".",".",".","0.4"
