"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"","502","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","","Course Total","","15","3.955","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","17","3.706","58.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","725","001","","23","3.761","52.2","47.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","","Course Total","","37","3.851","70.3","29.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Program Develop-Cont Educ","730","001","","10","3.214","30.0","30.0",".",".",".",".","10.0",".",".",".",".",".","30.0",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adult Learner:Implictn for C&I","746","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","824","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","824","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","845","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Instr Leadershp&Schl Improv","847","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","002","","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","003","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","940","005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Org Theory&Bhv in Educ","950","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in Educ Finance","960","001","","11","3.636","63.6","18.2","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Hierarchical Linear Modeling","964","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"","990","020","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","031","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","032","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","043","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","","","Page 86 of 407"
