"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Directed Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","49","3.625","40.8","46.9","6.1","2.0","2.0",".",".",".",".",".",".",".","2.0",".",".","."
"","712
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","25","3.740","68.0","12.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","39","3.833","79.5","7.7","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
741","24","3.913","87.5","4.2",".","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","47","3.957","93.6","2.1",".","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"","742
001","19","3.526","36.8","42.1","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","742
002","24","3.542","45.8","29.2","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","43","3.535","41.9","34.9","16.3","2.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
001","13","3.846","84.6","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","800
002","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
003","11","3.953","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
005","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
012","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
013","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
014","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
015","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","110","3.863","80.0","14.5","3.6","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","801
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Law I","822
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","835
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
835","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","35","3.857","74.3","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","22","3.682","50.0","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","41","3.829","73.2","19.5","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prac-Hlth, Aging, Disablty","874
001","24","3.826","62.5","33.3",".",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Hlth, Aging, Disably Pol&Serv","875
001","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","26","3.600","26.9","65.4",".","3.8",".",".",".",".",".",".",".",".","3.8",".",".","."
"Family Violence","923
001","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Faculty Research Seminar","946
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","949
001","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"PhD Proseminar","950
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
