"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","101
001","","23","2.652","21.7","4.3","30.4","4.3","26.1","8.7","4.3",".",".",".",".",".",".",".",".","."
"","101
002","","19","2.947","26.3","10.5","31.6","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"","101
004","","20","3.225","30.0","25.0","25.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","005
101","","18","2.500","11.1","16.7","22.2",".","33.3",".","11.1","5.6",".",".",".",".",".",".",".","."
"","101
006","","12","3.208","16.7","33.3","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","","92","2.885","21.7","16.3","27.2","8.7","16.3","5.4","3.3","1.1",".",".",".",".",".",".",".","."
"","201
001","","22","3.023","40.9","9.1","13.6","4.5","22.7","9.1",".",".",".",".",".",".",".",".",".","."
"","201
002","","19","3.263","31.6","10.5","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"3rd Semester Portuguese","Course Total","","41","3.134","36.6","9.8","26.8","7.3","14.6","4.9",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Brazilian Lits","221
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","225
001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","","16","3.688","75.0","6.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Brazillian Women Writers","450
001","","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Lusophone African LIt","451
001","","10","3.593","60.0",".","10.0",".","10.0",".",".","10.0",".",".",".",".",".","10.0",".","."
"Survey-Port Lit since 1825","467
001","","6","3.500","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7","16.7",".","."
"Topics in Luso-Braziln Lit","640
001","","7","3.792","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Portuguese M.A. Proseminar","707
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Brazilian Literature","751
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","899
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PORTUG
782","Dept. Total","","230","3.238","40.9","17.0","17.8","5.7","10.4","3.0","1.3","1.3",".","0.4",".",".","1.3","0.9",".","."
