"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","340
004","35","3.314","28.6","28.6","22.9","17.1","2.9",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","157","3.293","24.8","29.9","26.8","15.9","2.5",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","399
069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Financial Reporting","406
001","40","3.150","20.0","32.5","20.0","12.5","15.0",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","603
001","55","3.664","50.9","30.9","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","29","3.241","24.1","34.5","20.7","6.9","13.8",".",".",".",".",".",".",".",".",".",".","."
"","620
002","40","3.250","20.0","27.5","40.0","7.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","69","3.246","21.7","30.4","31.9","7.2","8.7",".",".",".",".",".",".",".",".",".",".","."
"","621
001","29","3.810","69.0","24.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","41","3.805","68.3","24.4","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","70","3.807","68.6","24.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","38","3.171","31.6","10.5","26.3","23.7","7.9",".",".",".",".",".",".",".",".",".",".","."
"","630
002","41","3.341","34.1","22.0","29.3","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"","630
003","43","3.291","30.2","20.9","34.9","4.7","9.3",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","122","3.270","32.0","18.0","30.3","11.5","8.2",".",".",".",".",".",".",".",".",".",".","."
"","700
001","65","3.623","32.3","60.0","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","60","3.558","16.7","78.3","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","62","3.669","50.0","37.1","11.3",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","187","3.618","33.2","58.3","8.0",".","0.5",".",".",".",".",".",".",".",".",".",".","."
"","701
004","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","706
001","12","3.458","41.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
001","38","3.803","73.7","13.2","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
001","29","3.621","51.7","20.7","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","28","3.661","39.3","53.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","57","3.640","45.6","36.8","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading&Research-Accounting","799
136","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","990
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
136","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
