"Directed Study","698
001","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
003","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
020","5","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"E A STDS
298","Dept. Total","116","3.625","61.2","15.5","12.1","2.6","1.7","1.7","0.9","0.9","0.9","1.7","",".","",".","",".","0.9",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.326","56.5","8.7","17.4","4.3","4.3","4.3","4.3",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","22","3.690","63.6","18.2","4.5","4.5","4.5",".",".",".",".","4.5","",".","",".","",".",".",".","."
"Junior","","36","3.652","61.1","11.1","13.9","2.8",".","2.8",".","2.8","2.8",".","",".","",".","",".","2.8",".","."
"Senior","","30","3.756","60.0","26.7","10.0",".",".",".",".",".",".","3.3","",".","",".","",".",".",".","."
"Undergraduates","","111","3.617","60.4","16.2","11.7","2.7","1.8","1.8","0.9","0.9","0.9","1.8","",".","",".","",".","0.9",".","."
"Special","","4","3.750","75.0",".","25.0",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","116","3.625","61.2","15.5","12.1","2.6","1.7","1.7","0.9","0.9","0.9","1.7","",".","",".","",".","0.9",".","."
