"CLINICAL LABORATORY SCIENC Section","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","",""
"102
001
Intro to Clinical Lab Science","52","3.673","76.9",".","15.4",".","5.8","1.9",".","",".","",".","",".",".","",".","",".","",".",".","."
"515
001
Clinical Hematology I","20","3.200","25.0","15.0","45.0","5.0","10.0",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"525
001
Clinical Chemistry I","25","3.420","20.0","44.0","36.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"535
001
Lab Diagnos-Infect Disease I","24","3.000","4.2","20.8","58.3","4.2","12.5",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"540
001
The Female Reproductive System","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"550
001
Clinical Immunohematology","25","3.200","8.0","36.0","44.0","12.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"560
001
Clin Immunol & Applied Tech","22","3.091","18.2",".","72.7",".","9.1",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"575
001","14","3.786","71.4","14.3","14.3",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"575
002","10","4.000","100.0",".",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"575
003","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"575
004","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"575
005","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Clinical Lab Science Practicum","33","3.934","84.8","9.1","6.1",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"620
001
Management Seminar","25","3.920","88.0","8.0","4.0",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
Dept. Total
628","229","3.390","48.0","14.4","30.6","2.2","4.4","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","29","3.690","79.3",".","13.8",".","3.4","3.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","13","3.615","76.9",".","7.7",".","15.4",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","26","3.190","34.6","11.5","46.2","3.8","3.8",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","158","3.352","41.1","19.0","33.5","2.5","3.8",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","226","3.360","47.3","14.6","31.0","2.2","4.4","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","3","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","229","3.390","48.0","14.4","30.6","2.2","4.4","0.4","",".","",".","",".",".","",".","",".","",".",".",".","."
