"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","854
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
018","","10","",".",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","40.0"
"","854
019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","","155","",".",".",".",".",".",".",".","87.7",".",".",".",".",".",".",".","12.3"
"Advanced Criminal Procedure","860
001","","18","",".",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","22.2"
"Institutionalized Persons","862
001","","50","",".",".",".",".",".",".",".","72.0",".",".",".",".",".",".",".","28.0"
"International Trade Law","871
001","","26","2.320","19.2","15.4","30.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Client Counselling","880
001","","15","1.600","20.0",".","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","","65","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","85","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","904
001","","17","1.176","11.8",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law, Sci & Biotechnolgy Smr","906
001","","22","1.737","27.3",".","13.6",".",".",".",".","9.1",".",".",".",".","4.5",".",".","."
"","907
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","907
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Pro Responsblty Smr","Course Total","","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"Seminar-Psychiatry and Law","911
001","","14","3.192","57.1",".","14.3","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".","."
"Securities Regulation","914
001","","14","1.000","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","915
001","","13","",".",".",".",".",".",".",".","84.6",".",".",".",".",".",".",".","15.4"
"","915
002","","7","1.429","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","","20","1.429","10.0",".",".",".","5.0",".",".","55.0",".",".",".",".",".",".",".","10.0"
"","918
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","918
002","","15","1.615","20.0",".","20.0",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","918
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","","21","1.689","14.3","4.8","19.0",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Health Law & Admin Seminar","935
001","","9","1.778","11.1",".","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","939
001","","9","1.261","11.1",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","939
002","","10","0.931","10.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","939
003","","6","1.833","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","Course Total","","25","1.219","16.0",".","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
001","","14","2.038","35.7","7.1","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","940
002","","31","1.355","19.4",".","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
005","","17","1.531","17.6","5.9","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","940
006","","29","0.828","10.3",".","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
007","","33","3.500",".","3.0",".",".",".",".",".","97.0",".",".",".",".",".",".",".","."
"","940
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
009","","11","2.625","36.4",".","9.1",".","9.1",".",".","27.3",".",".",".",".",".",".",".","."
"","940
010","","12","1.750","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
011","","6","1.000",".",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
