"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Ensemble-Woodwind","Course Total","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Black Music Ensemble","266
001","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Ensemble-Brass","Course Total","40","4.000","97.5",".",".",".",".",".",".",".",".",".",".",".",".",".","2.5","."
"","268
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","20","3.925","95.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
101","16","3.188","12.5","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
271","15","3.400","40.0","26.7","20.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","271
103","16","3.188","31.3","6.3","37.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","271
104","15","3.300","13.3","46.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","62","3.266","24.2","25.8","33.9","11.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Great Composers","306
001","14","3.538","57.1","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".",".","7.1","."
"Black Mus(1920-Pres)-Trumpt","310
001","24","3.452","37.5","25.0","12.5","4.2","8.3",".",".","4.2",".",".",".",".",".",".","8.3","."
"Jazz Improvisation","331
001","28","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts of Music","351
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","401
001","17","3.412","70.6","11.8","5.9",".",".",".","11.8",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","25","3.667","52.0","24.0","20.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","26","3.173","11.5","30.8","46.2","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","311","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","105","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
002","106","3.976","95.3","4.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","83","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","294","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
