"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHY THER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","",".",".",".","",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Senior","2","4.000","50.0",".",".","",".","",".","",".","",".","",".","",".","50.0","",".","",".","",".",".",".","."
"Undergraduates","3","4.000","33.3",".",".","",".","",".","",".","",".","",".","",".","66.7","",".","",".","",".",".",".","."
"Special","1","",".",".",".","",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","152","3.714","58.6","38.2","3.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","205","3.604","31.7","36.1","4.4","",".","",".","",".","",".","",".","",".","27.8","",".","",".","",".",".",".","."
"Prof Yr 3","80","",".",".",".","",".","",".","",".","",".","",".","",".","100.0","",".","",".","",".",".",".","."
"Professionals","437","3.660","35.2","30.2","3.2","",".","",".","",".","",".","",".","",".","31.4","",".","",".","",".",".",".","."
