"JEWISH STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Judaism","211","001","","76","3.368","31.6","38.2","17.1","6.6","3.9","1.3","1.3",".",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","","27","3.389","14.8","48.1","37.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","","16","3.600","50.0","25.0","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Bascom Course","236","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241","001","","11","3.125","9.1","18.2","27.3","18.2",".",".",".","27.3",".",".",".",".",".",".",".","."
"Directed Study","299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Fiction-Translation","367","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Jewish Civilization","371","001","","14","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Jews of Central&Eastern Europe","372","001","","11","3.738","72.7","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Rabbinic Texts","448","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Jewish Studies","490","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Israeli Politics and Society","665","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"JEWISH
510","","Dept. Total","","176","3.401","31.3","36.4","19.3","6.8","2.3","1.1","0.6","2.3",".",".",".",".",".",".",".","."
