"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Business Scholars Seminar","170
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","25","3.540","32.0","44.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","25","3.740","52.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
003","24","3.729","45.8","54.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","23","3.696","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","24","3.792","66.7","29.2",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","23","3.478","30.4","43.5","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","300
007","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","23","3.717","73.9","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","300
009","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","22","3.386","31.8","40.9","22.7",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","300
012","22","3.773","68.2","27.3",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","300
014","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","301","3.738","61.5","30.2","6.6","0.3","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"","301
001","215","2.950","11.6","17.7","40.0","11.6","15.8","1.9",".","1.4",".",".",".",".",".",".",".","."
"","301
002","131","3.118","17.6","22.9","38.2","9.9","10.7","0.8",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","346","3.015","13.9","19.7","39.3","11.0","13.9","1.4",".","0.9",".",".",".",".",".",".",".","."
"","302
001","41","3.402","41.5","22.0","19.5","9.8","7.3",".",".",".",".",".",".",".",".",".",".","."
"","302
002","35","3.414","42.9","17.1","25.7","8.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","76","3.408","42.1","19.7","22.4","9.2","6.6",".",".",".",".",".",".",".",".",".",".","."
"","303
001","115","2.965","20.0","7.0","49.6","7.0","12.2","1.7","2.6",".",".",".",".",".",".",".",".","."
"","303
002","122","3.049","21.3","12.3","45.9","4.1","13.1","2.5","0.8",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","237","3.008","20.7","9.7","47.7","5.5","12.7","2.1","1.7",".",".",".",".",".",".",".",".","."
"","304
001","56","3.373","21.4","37.5","33.9","3.6","1.8",".",".",".",".",".",".",".",".","1.8",".","."
"","304
002","61","3.303","21.3","31.1","37.7","6.6","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","117","3.336","21.4","34.2","35.9","5.1","2.6",".",".",".",".",".",".",".",".","0.9",".","."
"Intercultural Communctn in Bus","320
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","25","3.560","60.0","16.0","20.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","365
003","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","365
005","25","3.480","40.0","20.0","36.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","92","3.706","66.3","15.2","15.2","1.1",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"Bus Scholars & Honors Seminar","380
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","399
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Envir Strategy & Sustainabilty","600
001","40","3.688","65.0","17.5","12.5",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","700
001","40","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","45","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","40","3.938","92.5","5.0",".","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","62","3.782","58.1","40.3","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","187","3.869","81.3","17.6","0.5","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001","60","3.567","36.7","40.0","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","65","3.546","30.8","47.7","21.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 48 of 407"
