"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","2.500",".",".",".","100.0",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","4","3.625","75.0",".","25.0",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","4","3.269","50.0","25.0",".",".","25.0","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","9","3.326","55.6","11.1","11.1","11.1","11.1","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","78","3.624","51.3","3.8","7.7","1.3",".","",".","",".","24.4","",".",".","",".","11.5","",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","10","3.833","50.0","10.0",".",".",".","",".","",".","40.0","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","2","4.000","50.0",".",".",".",".","",".","",".",".","",".",".","",".","50.0","",".",".",".","."
"Professionals","","13","3.875","53.8","7.7",".",".",".","",".","",".","30.8","",".",".","",".","7.7","",".",".",".","."
