"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
011","12","3.167","16.7","33.3","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","344
012","18","3.139","22.2","16.7","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
013","16","3.125","12.5","31.3","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
014","18","3.194","33.3","5.6","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
015","18","3.250","27.8","16.7","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","344
016","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"","344
017","18","3.417","27.8","38.9","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","344
018","15","3.233","40.0","6.7","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
019","17","3.294","17.6","41.2","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
020","17","3.294","41.2","17.6","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","344
021","15","3.233","13.3","33.3","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
022","14","3.214","28.6","14.3","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
023","15","3.200","26.7","20.0","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
024","12","3.292","16.7","33.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","344
025","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
026","13","3.154","30.8","7.7","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","344
027","17","3.118","11.8","35.3","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","344
028","13","3.231","15.4","23.1","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","407","3.241","22.6","28.0","29.5","15.2","3.9","0.5",".",".",".",".",".",".",".",".",".","0.2"
"","345
001","212","2.797","20.3","12.3","29.7","5.7","23.6","5.2","3.3",".",".",".",".",".",".",".",".","."
"","345
002","218","2.803","12.8","12.8","46.3","2.8","16.1","6.0","3.2",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","430","2.800","16.5","12.6","38.1","4.2","19.8","5.6","3.3",".",".",".",".",".",".",".",".","."
"","346
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","43","3.174","25.6","16.3","32.6","18.6","7.0",".",".",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","15","3.233","33.3",".","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","25","3.440","48.0","20.0","12.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","41","2.854","19.5","9.8","34.1","4.9","26.8","4.9",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","51","2.775","17.6","9.8","29.4","15.7","17.6","9.8",".",".",".",".",".",".",".",".",".","."
"","563
001","15","3.100","33.3","13.3","26.7","6.7","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","563
003","22","3.318","50.0","9.1","27.3",".","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","563
004","21","3.524","61.9","19.0","9.5",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","563
006","15","3.267","46.7","6.7","33.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","73","3.322","49.3","12.3","23.3","2.7","6.8","1.4","4.1",".",".",".",".",".",".",".",".","."
"","564
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","9","2.889","44.4",".","22.2",".","11.1","22.2",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565
001","81","3.346","53.1","12.3","14.8","2.5","13.6","1.2","2.5",".",".",".",".",".",".",".",".","."
"","567
001","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","567
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
