"CHEMICAL & BIOLOGICAL ENGR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","211","001","","35","2.629","5.7","17.1","22.9","28.6","17.1","5.7","2.9",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","76","2.868","21.1","13.2","19.7","21.1","21.1","2.6","1.3",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","43","2.919","7.0","23.3","44.2","11.6","7.0","7.0",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","52","2.769","17.3","13.5","25.0","9.6","28.8","3.8","1.9",".",".",".",".",".",".",".",".","."
"","324","001","","7","3.357","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","22","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","28","2.911","25.0","7.1","32.1","10.7","17.9","7.1",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","13","3.769","92.3",".",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","23","2.957","30.4",".","30.4","17.4","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","32","3.000","31.3","9.4","21.9","15.6","15.6","6.3",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","42","3.107","19.0","19.0","40.5","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","27","3.185","37.0","18.5","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","29","3.017","13.8","34.5","13.8","17.2","20.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Tissue Engineering","510","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Macromolecular Hydrodynamics","525","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","13","3.346","23.1","38.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","562","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","002","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","17","2.912","35.3",".","11.8","29.4","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","562","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","006","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","39","3.444","61.5","10.3","5.1","12.8","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","6","2.500",".","16.7","16.7","16.7","50.0",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","29","3.962","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
