"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"461
Collegium Musicum","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","002","","21","3.667","52.4","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","010","","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"497","026","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"497","061","","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","091","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","77","3.747","68.8","23.4","6.5",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"499","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"499","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"499","128","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.909","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"50
Concert Choir","001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"52
Women's Chorus","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Orchestration","001","","11","3.545","81.8",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"53
Choral Union","001","","39","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Adv Instrumental Pedagogy","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"541
Choral Lit& Perf Prac-Today","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"545
Practcm-Adv String Pedagogy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"546
String Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"55
Masters' Singers","001","","57","3.860","89.5",".","7.0",".","3.5",".",".",".",".",".",".",".",".",".",".","."
"553
Advanced Conducting","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"556
University Opera","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"557
Opera Workshop","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"558
Madrigal Singers","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"56
Chorale","001","","63","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"562","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","4","***","","","","","","","","","","","","","","","",""
"565","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"565","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Woodwind","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"567","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ensemble-Brass","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"568","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ensemble-Percussion","Course Total","","3","***","","","","","","","","","","","","","","","",""
"569","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"569","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 30, 2010","","","","","","","","","","","","","","","","","","","Page 265 of 407",""
