"LAFOLLETTE SCHOOL PUB AFF Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"Pub Affr Prof Devlpmnt Workshp","800
001","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender Issues-Intl Educ Policy","805
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Analys & Policy Smr","809
001","16","3.467","25.0","37.5","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","818
001","23","3.652","43.5","43.5","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","818
002","30","3.717","50.0","43.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","Course Total","53","3.689","47.2","43.4","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trade, Competition&Governance","856
001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","873
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001","39","3.282","20.5","33.3","30.8","12.8","2.6",".",".",".",".",".",".",".",".",".",".","."
"Public Personnel Adm","875
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Public Management","878
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","880
001","31","3.306","22.6","29.0","38.7","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"","880
002","23","3.545","39.1","30.4","21.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","Course Total","54","3.406","29.6","29.6","31.5","5.6","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881
001","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pub Mgt:Constrnts&Acctblty","885
001","8","3.313","37.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performance Management","895
001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","974
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"PUB AFFR
826","Dept. Total","335","3.561","35.5","27.5","17.3","2.4","0.6","0.3",".","2.4",".","13.7",".",".","0.3",".",".","."
