"EDU","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"ED POL
Dept. Total
310","435","3.644","46.2","29.4","10.1","1.4","1.4","",".","0.5","6.4","0.2","2.3","",".","0.9","0.2","0.2","0.7","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"Freshmen","35","3.857","82.9","11.4","2.9",".","2.9","",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","8","3.375","37.5","25.0","25.0",".","12.5","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","94","3.511","34.0","41.5","20.2","1.1","3.2","",".",".",".",".",".","",".",".",".",".",".","."
"Senior","168","3.584","45.2","36.3","12.5","3.0","0.6","",".","1.2","0.6",".",".","",".",".",".",".","0.6","."
"Undergraduates","305","3.587","45.9","34.8","14.1","2.0","2.0","",".","0.7","0.3",".",".","",".",".",".",".","0.3","."
"Special","11","3.952","90.9","9.1",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","119","3.841","42.9","17.6","0.8",".",".","",".",".","22.7","0.8","8.4","",".","3.4","0.8","0.8","1.7","."
"Dept. Total","435","3.644","46.2","29.4","10.1","1.4","1.4","",".","0.5","6.4","0.2","2.3","",".","0.9","0.2","0.2","0.7","."
