"","991
083","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","991
092","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","991
094","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Directed Reading","Course Total","23","",".",".",".",".",".",".",".","100.0","",".",".",".","",".",".",".",".","."
"LAW
528","Dept. Total","4030","1.319","10.2","1.3","18.0","0.1","3.0","0.3","0.2","19.3","",".",".",".","",".","0.1",".","0.2","1.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","",""
"Senior","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Undergraduates","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Special","","48","2.152","20.8","6.3","27.1",".","6.3",".",".","10.4","",".",".",".","",".",".",".",".","."
"Graduate","","134","3.576","38.1","35.1","20.9","1.5",".",".",".","4.5","",".",".",".","",".",".",".",".","."
"Prof Yr 1","","1279","1.133","7.3",".","24.3",".","4.9","0.2",".","0.7","",".",".",".","",".","0.2",".","0.4","0.4"
"Prof Yr 2","","1201","1.195","8.2",".","14.2",".","2.7","0.3","0.4","29.3","",".",".",".","",".","0.1",".","0.3","2.4"
"Prof Yr 3","","1329","1.355","11.7","0.1","15.3","0.1","1.7","0.5","0.2","27.7","",".",".",".","",".","0.1",".",".","0.8"
"Prof Yr 4","","38","4.000","2.6",".",".",".",".",".",".","97.4","",".",".",".","",".",".",".",".","."
"Professionals","","3847","1.214","9.1","0.0","17.8","0.0","3.1","0.3","0.2","19.9","",".",".",".","",".","0.1",".","0.2","1.1"
"","Dept. Total","4030","1.319","10.2","1.3","18.0","0.1","3.0","0.3","0.2","19.3","",".",".",".","",".","0.1",".","0.2","1.1"
