"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"400","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"400","004","","39","3.577","53.8","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"400","005","","15","3.631","66.7","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Biology","Course Total","","62","3.626","62.9","17.7","11.3","1.6","6.5",".",".",".",".",".",".",".",".",".",".","."
"425
Evolution of Behavior","001","","97","2.964","16.5","20.6","29.9","11.3","18.6","3.1",".",".",".",".",".",".",".",".",".","."
"430
Compar Anatomy-Vertebrates","001","","99","3.301","45.5","11.1","19.2","8.1","13.1","2.0",".",".",".",".",".",".",".",".",".","1.0"
"460
General Ecology","001","","36","2.847","13.9","11.1","33.3","13.9","27.8",".",".",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","38","2.921","28.9","7.9","21.1","18.4","18.4","2.6","2.6",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","109","3.509","43.1","31.2","15.6","1.8","7.3",".",".","0.9",".",".",".",".",".",".",".","."
"555
Lab-Developmental Biology","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","191","3.056","30.9","4.7","38.7",".","22.0","2.1","0.5","1.0",".",".",".",".",".",".",".","."
"603
Endocrinology","001","","82","3.293","39.0","24.4","18.3","7.3","4.9","4.9","1.2",".",".",".",".",".",".",".",".","."
"619
Biology of Mind","001","","34","3.328","29.4","2.9","61.8",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","7","3.214","28.6",".","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"645
Modeling Pop Genetics&Evolutn","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Thesis Progress Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","048","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","059","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","Course Total","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","7","3.813","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
