"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"Intro to Animal Sciences
101","001","","71","3.331","33.8","26.8","23.9","5.6","8.5","1.4",".",".",".",".",".",".",".",".",".","."
"Biol&Apprec-Companion Anmls
200","001","","137","3.314","35.0","21.9","21.9","9.5","5.1","2.9",".",".",".",".",".",".","0.7","2.2",".","0.7"
"Independent Study
299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Livestck Prod&Hlth-Ag Dvlpm
370","001","","45","3.656","64.4","15.6","8.9","8.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"375","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"375","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","005","","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","38","3.925","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl-Monogastrc Nutr Prncpl
415","001","","9","3.643","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"Beef Cattle Production
431","001","","11","3.227","45.5","9.1","27.3",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Reproductive Physiology
434","001","","43","3.465","41.9","27.9","11.6","18.6",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Sciences Proseminar
435","001","","22","3.705","68.2","13.6","13.6",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"681","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honor Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Thesis
691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Genetic Epidemiology
849","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Endocrinlgy-Reprodctve Phys
954","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
