"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"765","022","","16","3.500","25.0","43.8","25.0",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Contemporary Topics","Course Total","","98","3.546","27.6","58.2","9.2","2.0","2.0",".",".",".",".",".",".",".","1.0",".",".","."
"770","001","","32","3.688","46.9","43.8","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"770","002","","33","3.758","60.6","30.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","","65","3.723","53.8","36.9","9.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research
971","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"999","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","2","***","","","","","","","","","","","","","","","",""
