"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"630","020","","35","3.703","80.0","14.3","2.9",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"630","023","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","46","3.760","84.8","10.9","2.2",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"660","077","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","083","","13","4.000","84.6",".",".",".",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"660","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"660","086","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"660","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"660","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","43","3.956","88.4","7.0",".",".",".",".",".",".",".",".",".",".","2.3","2.3",".","."
"Research or Thesis
690","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","6","3.850","50.0","16.7",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","3.906","62.5","12.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Education Foundations
705","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research
719","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient
730","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Foundations
732","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field II
789","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Reh Cnslg-Cnslg Technique
810","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Cnslg Theory
820","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Diag & Treat
830","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Clin Rehab Cnslg-Group Cnslg
840","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Legal Foundations of Spec Ed
842","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Clin Prac
860","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research in Spec Education
872","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev of Spec Ed Rschrs
873","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Pract I
880","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Pract II","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reh Coun Ed-Psychsoc Thry&Rsch
903","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship
910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-Cnslg Supervision
920","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-Supv Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
