"Advanced Production Practicum","661
001","5","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Senior Thesis","691
001","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Adv Theatre Hist-500bc-1700","731
001","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"942
THEATRE","Dept. Total","533","3.786","78.4","10.7","4.7","0.9","1.7","1.1","0.8","",".","",".",".","",".","0.2","1.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.886","86.2","5.2","3.4","3.4",".",".",".","",".","",".",".","",".",".","1.7",".",".","."
"Sophomore","","126","3.805","78.6","12.7","2.4","0.8","0.8","1.6","0.8","",".","",".",".","",".",".","2.4",".",".","."
"Junior","","164","3.728","76.2","9.1","7.9",".","3.0","2.4","0.6","",".","",".",".","",".",".","0.6",".",".","."
"Senior","","176","3.790","77.8","12.5","4.0","1.1","1.7",".","1.1","",".","",".",".","",".","0.6","1.1",".",".","."
"Undergraduates","","524","3.784","78.4","10.7","4.8","1.0","1.7","1.1","0.8","",".","",".",".","",".","0.2","1.3",".",".","."
"Special","","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","7","3.912","71.4","14.3",".",".",".",".",".","",".","",".",".","",".",".","14.3",".",".","."
"","Dept. Total","533","3.786","78.4","10.7","4.7","0.9","1.7","1.1","0.8","",".","",".",".","",".","0.2","1.5",".",".","."
