"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","83","3.591","51.8","24.1","14.5","6.0","2.4",".",".",".",".",".",".",".",".",".","1.2","."
"Physiology","335
001","437","3.108","32.0","14.9","27.7","7.6","11.2","5.5","0.9","0.2",".",".",".",".",".",".",".","."
"","337
001","148","3.206","40.5","21.6","11.5","10.1","8.1","6.8","1.4",".",".",".",".",".",".",".",".","."
"","337
002","135","3.319","44.4","20.7","15.6","5.9","8.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"","337
003","74","2.493","12.2","13.5","20.3","20.3","16.2","9.5","8.1",".",".",".",".",".",".",".",".","."
"","337
004","90","2.611","15.6","15.6","15.6","17.8","22.2","8.9","4.4",".",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","447","3.002","32.0","18.8","15.0","12.1","12.5","6.3","3.4",".",".",".",".",".",".",".",".","."
"","338
001","22","3.476","54.5","9.1","13.6","9.1","9.1",".",".",".",".",".",".",".","4.5",".",".","."
"","338
002","20","3.300","60.0","10.0","5.0","10.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","338
003","24","3.417","45.8","20.8","12.5","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","338
004","21","3.190","57.1",".","9.5","9.5","19.0",".","4.8",".",".",".",".",".",".",".",".","."
"","338
005","23","3.261","34.8","13.0","30.4","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","338
006","23","3.273","47.8","8.7","13.0","17.4",".","8.7",".",".",".",".",".",".","4.3",".",".","."
"","338
007","20","3.525","60.0","25.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","338
008","19","2.789","21.1","10.5","26.3","10.5","21.1","10.5",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","172","3.285","47.7","12.2","14.5","10.5","9.3","2.9","1.7",".",".",".",".",".","1.2",".",".","."
"","699
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"146
ANAT&PHY","Dept. Total","1150","3.131","36.4","16.5","19.6","9.6","10.7","5.0","1.9","0.1",".",".",".",".","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.429","32.1","35.7","21.4","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","172","2.735","18.0","16.3","18.0","16.3","18.6","7.6","5.2",".",".",".",".",".",".",".",".","."
"Junior","","297","3.050","30.6","13.8","24.6","10.8","14.1","4.7","1.3",".",".",".",".",".",".",".",".","."
"Senior","","596","3.267","45.0","16.9","17.1","7.4","7.7","4.0","1.5",".",".",".",".",".","0.3",".",".","."
"Undergraduates","","1093","3.131","36.5","16.5","19.4","9.7","11.1","4.7","2.0",".",".",".",".",".","0.2",".",".","."
"Special","","19","3.367","42.1","26.3","5.3","5.3",".","10.5",".","5.3",".",".",".",".",".",".","5.3","."
"Graduate","","9","2.938","33.3","11.1","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Prof Yr 1","","29","3.080","31.0","13.8","34.5","3.4","6.9","10.3",".",".",".",".",".",".",".",".",".","."
"Professionals","","29","3.080","31.0","13.8","34.5","3.4","6.9","10.3",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1150","3.131","36.4","16.5","19.6","9.6","10.7","5.0","1.9","0.1",".",".",".",".","0.2",".","0.1","."
