"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","24","3.978","91.7","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","203
001","107","3.607","53.3","24.3","16.8","3.7","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"","203
002","59","3.636","49.2","30.5","18.6","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","Course Total","166","3.617","51.8","26.5","17.5","3.0","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"Data Science & Engineering","204
001","17","3.529","47.1","35.3",".","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","210
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","17","3.765","94.1",".",".",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","210
003","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","18","3.912","88.9",".",".","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"","210
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
009","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","112","3.946","96.4","0.9",".","0.9",".",".","0.9",".",".",".",".",".","0.9",".",".","."
"Analytical Methods for EM Engr","219
001","119","3.765","73.1","13.4","9.2","1.7","2.5",".",".",".",".",".",".",".",".",".",".","."
"","220
001","98","3.597","67.3","5.1","17.3",".","10.2",".",".",".",".",".",".",".",".",".",".","."
"","220
002","16","3.438","31.3","43.8","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","114","3.575","62.3","10.5","15.8","2.6","8.8",".",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","136","3.375","35.3","30.9","16.9","11.8","3.7","0.7","0.7",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","53","3.462","54.7","15.1","15.1","5.7","7.5",".","1.9",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","252
001","127","3.406","47.2","22.8","15.0","6.3","3.9","3.1","1.6",".",".",".",".",".",".",".",".","."
"","270
001","39","3.936","89.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","41","3.890","85.4","12.2",".",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"","270
004","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","99","3.909","85.9","12.1","1.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","271
001","40","3.238","25.0","27.5","22.5","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","271
002","14","3.071","14.3","21.4","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","54","3.194","22.2","25.9","25.9","20.4","5.6",".",".",".",".",".",".",".",".",".",".","."
"","303
001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","33","3.803","66.7","27.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","79","3.956","92.4","6.3","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317
003","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","34","3.735","76.5","11.8","8.8",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","96","3.656","68.8","16.7","3.1","4.2","5.2","2.1",".",".",".",".",".",".",".",".",".","."
