"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","79","2.908","17.7","11.4","29.1","3.8","13.9","3.8","2.5",".",".",".",".",".",".",".","17.7","."
"Intro-Mus Cult of the World","103
001","106","3.357","52.8","11.3","19.8","0.9","8.5","2.8","2.8",".",".",".",".",".",".",".","0.9","."
"Storytelling on Stage","105
001","46","3.768","65.2","13.0","4.3","6.5",".",".",".","10.9",".",".",".",".",".",".",".","."
"","113
001","689","3.984","99.4",".",".",".","0.1","0.4",".",".",".",".",".",".",".",".",".","."
"","113
002","705","3.871","92.6","1.8","1.8","0.7","1.3","0.3","1.4",".",".",".",".",".",".",".",".","."
"","113
003","648","3.950","95.8","2.3","0.3","0.3","0.8","0.3","0.2",".",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","2042","3.934","95.9","1.4","0.7","0.3","0.7","0.3","0.5",".",".",".",".",".",".",".",".","."
"","121
001","22","3.432","36.4","22.7","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","20","3.150","20.0","25.0","35.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","42","3.298","28.6","23.8","33.3","11.9",".","2.4",".",".",".",".",".",".",".",".",".","."
"","151
001","34","3.662","61.8","26.5","5.9",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","151
002","49","3.694","65.3","20.4","8.2","4.1",".","2.0",".",".",".",".",".",".",".",".",".","."
"","151
004","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","99","3.712","65.7","23.2","6.1","2.0","1.0","2.0",".",".",".",".",".",".",".",".",".","."
"","171
101","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","12","3.542","50.0","8.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
103","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","12","3.208","16.7","33.3","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","42","3.452","38.1","21.4","33.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","211
001","42","3.439","45.2","11.9","33.3","2.4","2.4","2.4",".","2.4",".",".",".",".",".",".",".","."
"","221
001","24","3.500","41.7","33.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","221
002","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","36","3.583","47.2","33.3","13.9",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","253
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","262
001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
049","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
135","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
163","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
189","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
220","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","44","3.977","97.7",".","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","Page 290 of 450",""
