"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"","170
001","56","3.911","89.3","5.4","3.6","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","97","3.866","83.5","7.2","8.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Design Practicum","Course Total","153","3.882","85.6","6.5","6.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","303
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","25","3.580","28.0","60.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","25","3.460","28.0","40.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","25","3.600","40.0","48.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","25","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","25","3.400","36.0","20.0","36.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","397
007","25","3.420","16.0","52.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","24","3.479","25.0","45.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","22","3.295","18.2","36.4","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","21","3.452","23.8","47.6","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
013","25","3.708","48.0","40.0","8.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","397
014","25","3.200","8.0","56.0","28.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","267","3.455","26.6","44.2","24.7","3.0","0.7",".","0.4",".",".",".",".",".","0.4",".",".","."
"Current Issues in Intl Engr","413
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Prototyping","477
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Interdis Engineering","601
003","14","3.500","57.1","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"496
INTEREGR","Dept. Total","486","3.639","53.3","27.6","16.0","2.1","0.4",".","0.4",".",".",".",".",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"Freshmen","","83","3.868","84.3","6.0","8.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","181","3.874","91.7","4.4","2.2","0.6",".",".","0.6",".",".",".",".",".",".","0.6",".","."
"Junior","","121","3.930","97.5","0.8","0.8",".",".",".",".",".",".",".",".",".",".","0.8",".","."
"Senior","","310","3.482","37.1","38.1","21.0","2.6","0.6",".","0.3",".",".",".",".",".","0.3",".",".","."
"Undergraduates","","695","3.634","67.5","19.0","11.1","1.4","0.3",".","0.3",".",".",".",".",".","0.1","0.3",".","."
"Graduate","","13","3.833","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","708","3.639","67.7","18.9","11.0","1.4","0.3",".","0.3",".",".",".",".",".","0.1","0.3",".","."
