"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"B M I","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","5","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Undergraduates","7","3.132","42.9","28.6",".","14.3",".","14.3",".",".","",".",".","",".","",".",".",".",".","."
"Special","23","3.589","60.9","21.7","8.7",".",".",".","4.3","4.3","",".",".","",".","",".",".",".",".","."
"Graduate","151","3.770","70.9","12.6","5.3","1.3","1.3",".","0.7","3.3","",".","0.7","",".","",".","0.7",".","3.3","."
"Prof Yr 2","1","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","7","3.538","42.9",".","28.6",".",".",".",".","14.3","",".",".","",".","",".",".","14.3",".","."
"Professionals","12","3.700","50.0","8.3","16.7",".",".",".",".","16.7","",".",".","",".","",".",".","8.3",".","."
