"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","89","3.848","82.0","11.2","2.2","3.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"Intro African Cultural Studies","202
001","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics in African Lit","203
001","23","3.795","87.0","4.3",".",".",".",".","4.3",".",".",".",".",".","4.3",".",".","."
"Intro Topics African Languages","204
001","16","3.767","68.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"","210
001","18","3.735","55.6","33.3",".","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"","210
002","26","3.440","42.3","30.8","11.5",".","7.7","3.8",".",".",".",".",".",".","3.8",".",".","."
"","210
003","29","3.379","37.9","31.0","17.2","3.4","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"","210
004","28","3.446","21.4","53.6","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","29","3.759","58.6","37.9",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","130","3.539","42.3","37.7","10.0","3.8","3.1","1.5",".",".",".",".",".",".","1.5",".",".","."
"Africa: Introductory Survey","277
001","31","3.433","19.4","54.8","16.1","3.2","3.2",".",".",".",".",".",".",".","3.2",".",".","."
"African Lit and Visual Culture","303
001","87","3.851","89.7","5.7","1.1","1.1",".",".","2.3",".",".",".",".",".",".",".",".","."
"","321
001","9","3.722","77.8","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","321
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","13","3.423","53.8","23.1","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","36","3.722","77.8","11.1","5.6",".","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"","323
001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","11","3.400","45.5",".","27.3","18.2",".",".",".",".",".",".",".",".","9.1",".",".","."
"Third Semester Arabic","Course Total","23","3.682","65.2","8.7","13.0","8.7",".",".",".",".",".",".",".",".","4.3",".",".","."
"Fifth Semester Arabic","329
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Swahili","331
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","371
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yoruba","Course Total","4","***","","","","","","","","","","","","","","","",""
"Third Semester Yoruba","373
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","391
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","405
001","10","3.050","20.0","40.0","20.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","405
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"African Cultural Studies","Course Total","12","3.208","33.3","33.3","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Topics in African Literature","406
002","23","3.955","87.0","8.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Adv Studies-Swahili Lang-Gr","435
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Methods LCTL Learning","670
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Multilanguage Seminar","671
001","8","3.786","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Reading&Writing Afri Cultr Std","700
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"CALx Working Group","804
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","905
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intdept Smr-African Studies","983
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
