"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"HIV: Sex, Society and Science
210","001","","40","3.838","87.5","2.5","7.5",".",".","2.5",".",".",".",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Cell & Molec Biol of Aging
751","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Histopath for Scientists
802","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pathogensis-Major Hum Diseases
803","001","","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"901","001","","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"901","002","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Seminar / Journal Club","Course Total","","50","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","010","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","011","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Transfusion Med Customized","Course Total","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"960","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pathology for Surgeons","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Omics Data Analysis
970","009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","052","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
