"","990
090","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
091","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","990
092","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","96","",".",".",".",".",".",".",".","35.4","2.1",".","",".","62.5",".",".",".","."
"200
BIOCHEM","Dept. Total","1555","3.476","50.3","13.9","14.1","6.2","5.5","0.9","0.2","3.8","0.1",".","",".","4.3","0.4","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".","",".",".",".",".",".","."
"Sophomore","","17","3.432","76.5","11.8",".",".",".","11.8",".",".",".",".","",".",".",".",".",".","."
"Junior","","400","3.279","40.5","16.5","17.8","11.3","11.3","1.8",".",".",".",".","",".",".","0.8",".","0.3","."
"Senior","","712","3.521","53.7","15.7","16.4","6.3","5.2","0.7","0.3",".",".",".","",".","1.0","0.3","0.1","0.1","0.1"
"Undergraduates","","1152","3.438","50.3","15.6","16.3","7.8","7.1","1.2","0.3",".",".",".","",".","0.6","0.4","0.1","0.2","0.1"
"Special","","30","3.433","43.3","10.0","23.3",".","10.0",".",".","6.7",".",".","",".",".","3.3","3.3",".","."
"Graduate","","365","3.738","51.5","9.0","6.3","1.6","0.3",".",".","15.3","0.5",".","",".","15.3",".",".",".","."
"Prof Yr 2","","2","***","","","","","","","","","",".","",".","50.0",".",".",".","."
"Prof Yr 3","","6","3.250","16.7",".","16.7",".",".",".",".","16.7",".",".","",".","50.0",".",".",".","."
"Professionals","","8","3.400","25.0",".","12.5",".",".",".",".","12.5",".",".","",".","50.0",".",".",".","."
"","Dept. Total","1555","3.476","50.3","13.9","14.1","6.2","5.5","0.9","0.2","3.8","0.1",".","",".","4.3","0.4","0.1","0.1","0.1"
