"CHEMICAL & BIOLOGICAL ENG","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","97","3.784","74.2","16.5","6.2","2.1",".",".","1.0",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","62","3.032","25.8","17.7","25.8","11.3","12.9","6.5",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","46","3.152","28.3","21.7","26.1","8.7","10.9","4.3",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","50","2.980","24.0","4.0","48.0","4.0","14.0","6.0",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","61","2.885","11.5","19.7","23.0","26.2","19.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","80","3.188","36.3","5.0","41.3","10.0","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","324","001","","13","3.346","30.8","30.8","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","13","3.615","53.8","30.8","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","51","3.520","39.2","35.3","17.6","5.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","50","3.040","24.0","20.0","22.0","16.0","14.0","4.0",".",".",".",".",".",".",".",".",".","."
"Eng Prin Mol, Cells, Tissues","330","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","65","3.069","21.5","20.0","33.8",".","24.6",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","64","3.125","17.2","26.6","29.7","17.2","9.4",".",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","40","3.375","35.0","15.0","42.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","31","3.581","58.1","22.6","6.5","3.2","9.7",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","37","3.028","21.6","21.6","18.9","21.6","8.1","5.4",".",".",".",".",".",".","2.7",".",".","."
"Biology in Engineering Seminar","517","001","","6","",".",".",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".","."
"Polymer Sci & Technology","540","001","","50","3.170","26.0","18.0","28.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","005","","17","3.688","47.1","35.3","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","562","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","011","","14","3.609","35.7","35.7","14.3",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Spec Topics in ChE","","Course Total","","66","3.801","68.2","19.7","7.6",".",".",".",".","1.5",".",".",".",".","3.0",".",".","."
"Solar Energy Technology","567","001","","27","3.278","25.9","44.4","14.8","3.7","7.4",".","3.7",".",".",".",".",".",".",".",".","."
"","599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","027","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Intmed Problems in ChE","660","001","","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv ChE Thermodynamic","710","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
