"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"940","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"940","008","","90","1.513","7.8",".","33.3",".","1.1","1.1",".","11.1",".",".",".",".",".",".",".","."
"940","009","","25","1.480","16.0",".","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","010","","58","0.786","1.7",".","10.3",".",".",".",".","50.0",".",".",".",".","1.7",".",".","."
"940","011","","37","",".",".",".",".",".",".",".","78.4",".",".",".",".",".",".",".","21.6"
"940","014","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law & Contemporary Problems","Course Total","","312","1.418","9.0",".","22.4",".","0.6","0.3",".","24.0",".",".",".",".","0.3",".",".","2.6"
"950","001","","23","1.217",".",".","34.8",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"950","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"950","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lawyering Skills Course","Course Total","","26","1.217",".",".","30.8",".","7.7",".",".","7.7",".",".",".",".","3.8",".",".","."
"Intro to Estate Planning
957","001","","9","1.556","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Probs-Envrnmtl Law
988","001","","19","1.400","15.8",".","15.8",".",".",".",".",".",".",".",".",".","21.1",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
