"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"100","001","","13","3.308","23.1","38.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","002","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","003","","10","3.300","20.0","50.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"100","004","","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","005","","12","3.375","16.7","66.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"100","006","","12","3.375","16.7","50.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","007","","12","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","008","","12","3.167","41.7","25.0","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"100","009","","13","2.846","23.1","15.4","23.1","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"100","010","","12","3.125","25.0","41.7","8.3",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"100","011","","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","012","","13","2.885","15.4","30.8","23.1","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"100","013","","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","014","","12","3.333","58.3","8.3","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"100","015","","11","3.091","9.1","54.5","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"100","016","","13","3.385","7.7","61.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","017","","13","3.385","30.8","23.1","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","018","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"100","019","","13","3.231","15.4","30.8","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"100","020","","12","3.000",".","41.7","33.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"100","021","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","022","","11","3.545","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","023","","12","2.917","16.7","41.7",".","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"100","024","","12","3.167","16.7","50.0","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"100","025","","12","3.333","33.3","50.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"100","026","","13","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","027","","12","3.083","16.7","41.7","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"100","028","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","029","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","030","","10","3.350","20.0","70.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"100","031","","13","3.308","30.8","38.5","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"100","032","","13","3.385","15.4","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"100","033","","12","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","034","","12","3.250","8.3","50.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"100","035","","11","3.591","54.5","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"100","036","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","037","","12","3.208",".","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","038","","12","3.500","25.0","58.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","039","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","040","","13","3.308","15.4","61.5","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"100","041","","12","2.958",".","50.0","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"100","042","","12","3.333","25.0","25.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","043","","10","3.000","20.0","20.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"100","044","","11","3.273","27.3","36.4","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"100","045","","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","","","","","","","","","","","","","","","","","","","Page 203 of 450",""
