"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","25","3.740","68.0","16.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","23","3.261","21.7","47.8","8.7","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","101
004","24","3.458","50.0","29.2","8.3","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","101
005","22","3.738","68.2","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","4.5"
"","101
007","14","2.643","35.7","21.4","7.1","7.1",".","7.1","21.4",".",".",".",".",".",".",".",".","."
"","101
008","18","3.167","27.8","27.8","22.2","16.7",".",".","5.6",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","126","3.392","46.8","26.2","10.3","8.7","1.6","1.6","4.0",".",".",".",".",".",".",".",".","0.8"
"","102
001","20","3.375","35.0","30.0","25.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","102
002","10","3.389","50.0",".","20.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","102
003","16","3.313","37.5","6.3","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","46","3.356","39.1","15.2","30.4","6.5","4.3","2.2",".","2.2",".",".",".",".",".",".",".","."
"","203
001","18","3.639","61.1","22.2","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
002","22","3.568","45.5","36.4","4.5","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","10","3.550","60.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
004","10","3.450","70.0","10.0",".",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","203
005","22","3.643","40.9","40.9","13.6",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Third Semester French","Course Total","82","3.586","52.4","28.0","8.5","4.9","3.7","1.2",".",".",".",".",".",".",".","1.2",".","."
"","204
001","24","3.438","37.5","29.2","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","204
002","19","3.579","42.1","42.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","22","3.295","27.3","27.3","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","204
005","10","2.800","10.0","30.0","20.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","75","3.347","32.0","32.0","20.0","10.7","4.0",".","1.3",".",".",".",".",".",".",".",".","."
"","227
001","19","3.778","63.2","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","227
002","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploring French:Intermed Crse","Course Total","39","3.763","56.4","35.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".","2.6"
"","228
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
011","17","3.588","58.8","23.5","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","228
012","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","54","3.818","75.9","16.7","5.6",".",".","1.9",".",".",".",".",".",".",".",".",".","."
"","271
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
011","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
012","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
013","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","53","3.711","67.9","24.5","3.8","1.9",".",".","1.9",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311
001","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","29","3.793","65.5","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321
001","18","3.531","44.4","22.2","5.6","16.7",".",".",".",".",".",".",".",".",".","11.1",".","."
"Intro to Lit of Modernity","322
001","30","3.800","73.3","16.7","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Literature & Medicine","464
001","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","Page 235 of 450",""
