"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"","639
001","","14","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","7.1","."
"","639
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","Course Total","","18","3.906","72.2","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".","5.6","."
"","640
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
004","","16","3.800","75.0","6.3","6.3","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"","640
005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","78","3.946","92.3","1.3","1.3","2.6",".",".",".",".",".",".",".",".","1.3",".","1.3","."
"","644
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","645
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intellectual Freedom","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro Info Architecture","646
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Books Print Cult Europe No Am","650
001","","17","4.000","88.2",".",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","654
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Services Management","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","655
002","","14","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","","19","3.421","42.1","15.8","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","668
001","","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","668
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dig Curation and Collections","Course Total","","26","3.827","73.1","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
003","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Data Mining Planning and Mgmt","Course Total","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","707
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","707
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","707
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Vis for Decision Making","Course Total","","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Public Library","Course Total","","22","3.932","95.5",".",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
