"BUS","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"","200
001","121","3.450","36.4","31.4","21.5","7.4","3.3",".",".",".",".",".",".",".",".",".",".","."
"","200
002","76","3.309","25.0","34.2","22.4","14.5","3.9",".",".",".",".",".",".",".",".",".",".","."
"International Business","Course Total","197","3.396","32.0","32.5","21.8","10.2","3.6",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intercultural Communctn in Bus","320
002","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish for Business","329
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","403
001","13","3.577","38.5","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","403
002","13","3.385","23.1","46.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","26","3.481","30.8","46.2","15.4","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","420
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin Amer Economc Develpmt","462
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"235
INTL BUS","Dept. Total","270","3.474","37.8","33.0","18.5","7.8","3.0",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"Sophomore","","32","3.266","21.9","34.4","21.9","18.8","3.1",".",".",".",".",".",".",".",".",".",".","."
"Junior","","82","3.390","35.4","28.0","19.5","13.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Senior","","155","3.561","42.6","34.8","17.4","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","269","3.474","37.9","32.7","18.6","7.8","3.0",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","270","3.474","37.8","33.0","18.5","7.8","3.0",".",".",".",".",".",".",".",".",".",".","."
