"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIATRY","Section","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","Dept. Total","168","4.000","16.1","",".","",".","",".","",".","",".","",".","40.5","",".",".","",".","",".","0.6",".","42.9","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","13","4.000","92.3","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","7.7",".",".","."
"Senior","","13","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","26","4.000","96.2","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","3.8",".",".","."
"Special","","74","4.000","2.7","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".","97.3","."
"Prof Yr 4","","68","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","","68","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","Dept. Total","168","4.000","16.1","",".","",".","",".","",".","",".","",".","40.5","",".",".","",".","",".","0.6",".","42.9","."
