"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","245","2.873","18.8","15.9","26.1","20.0","11.4","4.1","3.3",".",".",".",".",".",".",".",".","0.4"
"","101
002","228","2.831","15.8","17.1","30.7","14.0","14.9","3.1","4.4",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","473","2.853","17.3","16.5","28.3","17.1","13.1","3.6","3.8",".",".",".",".",".",".",".",".","0.2"
"","102
001","8","3.063","25.0","25.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
002","14","3.462","35.7","14.3","42.9",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","102
003","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","11","3.227","45.5",".","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
005","13","3.462","38.5","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","14","3.000","14.3","35.7","21.4","21.4",".",".","7.1",".",".",".",".",".",".",".",".","."
"","102
007","9","3.563","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","102
008","16","3.438","50.0","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
009","12","3.000","25.0","16.7","33.3","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"","102
010","8","3.000","25.0","12.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","102
011","14","3.143","42.9","7.1","28.6","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","102
012","11","2.909","9.1","36.4","36.4",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","102
013","11","3.227","36.4","18.2","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
014","12","3.208","16.7","25.0","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","102
015","12","3.208","33.3","25.0","25.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","102
016","7","3.286","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
017","14","3.179","35.7","21.4","21.4",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","102
018","14","3.357","42.9","14.3","35.7",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"","102
019","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
020","11","3.273","27.3","9.1","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","241","3.266","33.6","21.2","27.8","6.6","7.1","1.2","1.7",".",".",".",".",".","0.4","0.4",".","."
"General Botany","130
001","17","3.059","17.6","11.8","58.8",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","151
001","256","3.160","22.3","16.8","44.9","5.1","10.2","0.4","0.4",".",".",".",".",".",".",".",".","."
"","151
002","273","3.070","22.0","13.6","42.9","7.0","11.0","2.6","0.7",".",".",".",".",".","0.4",".",".","."
"","151
003","130","2.969","16.2","14.6","45.4","6.9","10.8","3.8","1.5",".",".",".",".",".","0.8",".",".","."
"Introductory Biology","Course Total","659","3.085","20.9","15.0","44.2","6.2","10.6","2.0","0.8",".",".",".",".",".","0.3",".",".","."
"Introductory Biology","152
001","303","3.298","38.9","12.2","31.4","7.3","6.9","2.0","0.3",".",".",".",".",".","1.0",".",".","."
"Evolution Seminar Series UG","522
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
