"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","","185","3.824","80.0","12.4","2.7","0.5",".","0.5","1.6",".",".",".",".",".","2.2",".",".","."
"","130
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fund of Theatrical Design","Course Total","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
001","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Voice1 Effective Communication","Course Total","","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","","12","3.375","66.7","8.3",".","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"","150
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","150
007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","","74","3.885","93.2","1.4","1.4","2.7",".",".","1.4",".",".",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","","15","3.607","60.0","20.0","6.7",".",".","6.7",".",".",".",".",".",".","6.7",".",".","."
"Backstage Experience","162
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","200
001","","29","3.571","75.9",".","6.9",".","6.9","6.9",".",".",".",".",".",".","3.4",".",".","."
"","200
002","","27","3.778","81.5",".","14.8",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Acting Skills for Life","Course Total","","56","3.673","78.6",".","10.7",".","5.4","3.6",".",".",".",".",".",".","1.8",".",".","."
"Undergrad Topics-Theatre&Drama","219
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Scenic Studio Practicum","220
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Costume Studio Practicum","221
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Light & Sound Studio Practicum","222
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","250
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Africn-Amer Performnc","329
001","","6","3.526","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditioning for Stage & Screen","352
001","","12","3.455","58.3","8.3","8.3","8.3",".","8.3",".",".",".",".",".",".","8.3",".",".","."
"","357
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","360
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Performance in Practice","Course Total","","6","3.531","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","6","3.714","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Script Analysis","367
001","","23","3.609","43.5","52.2",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 110 of 450",""
