"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","14","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","19","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","34","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","72","3.871","68.1","5.6","4.2","",".","",".","",".","",".","22.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","93","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","166","3.871","29.5","2.4","1.8","",".","",".","",".","",".","66.3","",".",".","",".","",".","",".",".",".","."
