"ALS","","","","","","","","","","","","","","","","","","","","","",""
"GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","","",""
"412
GENETICS","Dept. Total","1146","3.520","53.2","15.8","13.2","3.2","5.0","1.1","0.2","5.1","",".",".","",".","2.4","",".",".","0.7","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","94","3.684","76.6","9.6","10.6","2.1",".","1.1",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","152","3.539","63.8","15.1","11.2","3.9","3.9","1.3","0.7",".","",".",".","",".",".","",".",".",".","."
"Junior","","203","3.302","39.4","21.7","19.2","5.4","12.3","2.0",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","489","3.568","59.9","16.0","13.9","2.7","5.3","1.0","0.2",".","",".",".","",".","0.2","",".",".","0.6","0.2"
"Undergraduates","","938","3.508","57.8","16.4","14.3","3.4","6.1","1.3","0.2",".","",".",".","",".","0.1","",".",".","0.3","0.1"
"Special","","70","3.636","58.6","21.4","4.3","4.3",".","1.4",".","2.9","",".",".","",".",".","",".",".","7.1","."
"Graduate","","138","3.569","19.6","8.7","10.1","1.4",".",".",".","40.6","",".",".","",".","19.6","",".",".",".","."
"","Dept. Total","1146","3.520","53.2","15.8","13.2","3.2","5.0","1.1","0.2","5.1","",".",".","",".","2.4","",".",".","0.7","0.1"
