"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Great Speakers and Speeches","370
001","","97","3.667","68.0","12.4","4.1","2.1","3.1","1.0","2.1",".",".",".",".",".","3.1",".","4.1","."
"Psychology of Communication","402
001","","22","3.386","31.8","31.8","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Global Media Cultures","458
001","","37","3.271","10.8","48.6","24.3","2.7","8.1",".",".",".",".",".",".",".",".","5.4",".","."
"","465
001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465
002","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","Course Total","","27","3.741","51.9","44.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466
001","","15","3.567","13.3","86.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467
001","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467
002","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","Course Total","","26","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Hollywood Cinema","552
001","","60","3.457","35.0","36.7","18.3","1.7","1.7","3.3",".","1.7",".",".",".",".","1.7",".",".","."
"Classical Rhetorical Theory","570
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Studies Capstone","605
001","","95","",".",".",".",".",".",".",".",".",".","97.9","1.1",".",".",".",".","."
"Spec Tpcs:Media & Cultural St","608
001","","16","3.313","43.8","25.0","18.8",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Special Topics in Production","609
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","610
001","","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Communicatn Science","612
001","","12","3.542","50.0","33.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Film","613
001","","12","3.700","58.3",".","25.0",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Field Exper in Communicatn","614
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","615
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Film Colloquium","902
001","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Media&Cultural Studies Colloq","903
001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Communicatn Science Colloq","904
001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Rhetoric Colloquium","905
001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","950
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","950
002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","950
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Radio-Tv-Film","Course Total","","29","3.965","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Contemp Rhetorical Thry","969
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 03, 2021","","","","","","","","","","","","","","","","","","","Page 205 of 450",""
