"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"1st-Yr Seminar: Biological Sci","101
001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","20","3.789","65.0","20.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","106
002","13","3.192","38.5","23.1","15.4",".","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"","106
003","181","3.657","81.2","6.1","4.4","0.6","1.7","1.7","4.4",".",".",".",".",".",".",".",".","."
"","106
004","114","3.636","62.3","21.1","10.5","0.9","3.5",".","1.8",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","328","3.639","72.0","12.8","7.3","0.6","2.7","1.2","3.0",".",".",".",".",".","0.3",".",".","."
"1st-Yr Smr: Social&Natural Sci","107
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","145
001","140","3.928","92.9","3.6","0.7","0.7","0.7","0.7",".",".",".",".",".",".",".",".",".","0.7"
"","145
002","183","3.839","90.2","3.3","2.2","0.5","1.6","0.5","1.6",".",".",".",".",".",".",".",".","."
"How to Succeed in College","Course Total","323","3.877","91.3","3.4","1.5","0.6","1.2","0.6","0.9",".",".",".",".",".",".",".",".","0.3"
"","210
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","210
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
008","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","210
009","20","3.625","80.0","5.0","5.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","210
010","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
011","12","3.292","75.0","8.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","210
012","17","3.147","64.7",".","5.9","5.9","11.8",".","11.8",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","199","3.817","88.9","2.5","3.0","0.5","1.5",".","2.5",".",".",".",".",".","1.0",".",".","."
"","215
001","75","3.829","80.0","9.3","2.7","2.7","2.7",".",".",".",".",".",".",".","2.7",".",".","."
"","215
002","58","3.719","79.3","8.6","3.4","1.7","1.7",".","3.4",".",".",".",".",".","1.7",".",".","."
"Communicating About Careers","Course Total","133","3.781","79.7","9.0","3.0","2.3","2.3",".","1.5",".",".",".",".",".","2.3",".",".","."
"","250
001","14","3.833","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","15","3.907","73.3","20.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
004","14","3.907","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","14","3.840","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","250
006","17","3.914","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","17","3.947","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","21","3.957","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","15","3.833","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
010","19","3.843","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","164","3.889","82.3","10.4","6.1",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"Intrnshp in Liberal Arts & Sci","260
001","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Teach Learn Letters Sciences","300
001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
