"MATERIALS SCI AND ENGINEERI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Experience","260","001","","26","3.769","69.2","19.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","299","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Materials","330","001","","29","3.259","37.9","27.6","17.2","3.4","3.4","10.3",".",".",".",".",".",".",".",".",".","."
"Macroprocessing-Materials","332","001","","51","3.490","39.2","31.4","25.5",".","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"","350","001","","102","3.917","92.2","4.9","2.0",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"","350","002","","122","3.926","89.3","8.2","0.8","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","","Course Total","","224","3.922","90.6","6.7","1.3","0.9",".",".","0.4",".",".",".",".",".",".",".",".","."
"Struct&Property Rels-Solids","351","001","","33","3.015","12.1","33.3","33.3","12.1","3.0",".","6.1",".",".",".",".",".",".",".",".","."
"","360","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","360","002","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","360","003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360","004","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Materials Laboratory I","","Course Total","","33","3.952","84.8","9.1",".",".",".",".",".",".",".",".",".",".","6.1",".",".","."
"","362","001","","35","3.971","97.1",".","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Materials Laboratory III","","Course Total","","40","3.974","95.0",".","2.5",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"Special Topics in Mat Sci&Engr","401","001","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Engr Materials","423","001","","8","2.625",".","25.0","50.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Principles of Corrosion","433","001","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crystallog & Xray Diffractn","448","001","","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Ceramic Materials","451","001","","39","3.282","15.4","38.5","35.9","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"Elec,Opt&Mag Prop of Materials","456","002","","42","3.393","35.7","23.8","31.0","2.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Elevated Temp Serv","463","001","","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Project I","470","001","","41","3.829","82.9","12.2",".","2.4",".","2.4",".",".",".",".",".",".",".",".",".","."
"Advanced Polymeric Materials","521","001","","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Solids","530","001","","21","3.571","42.9","33.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Heterogeneous&Multiphase Mtrls","541","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced X-ray Scattering","648","001","","9","3.875","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Grad Cooperative Educ Program","702","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Analysis-Materials","748","001","","18","3.278","16.7","22.2","61.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
