"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"699","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.935","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Communication and Culture
803","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Communication History
808","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Communication
821","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"880","050","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"880","051","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Mass Communication","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium:Mass Communicatn
901","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","","33","",".",".",".",".",".",".",".","84.8",".",".",".","12.1","3.0",".",".","."
"Independent Research Prob
999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
